"","date","time","round","period","team","score","tries","try_assists","conversions","conversion_attempts","penalty_goals","penalty_goal_attempts","field_goals","field_goal_attempts","sin_bins","send_offs","penalties","scrums","sets","completions","total_runs","total_runs_metres","hitups","hitups_metres","runs","runs_metres","dummy_half_runs","dummy_half_runs_metres","first_receiver_runs","first_receiver_runs_metres","ruck_runs","ruck_runs_metres","kick_return_runs","kick_return_runs_metres","total_runs_in_general_play","total_runs_in_general_play_metres","line_breaks","line_break_assists","tackle_breaks","receives","tackles","one_on_one_tackles","ineffective_tackles","missed_tackles","offloads","errors","kicks","kicks_metres","forty_twenty_kicks","line_dropouts","play_the_balls_total","play_the_balls_slow","play_the_balls_neutral","play_the_balls_fast","possession_percent","used_plays","unused_plays","possession_efficiency_percent"
"1","2015-08-27","7:45PM","25","match","South Sydney","12","2","1","2","2","0","0","0","0","","","6","9","34","23","158","1307","74","646","32","171","8","66","16","120","12","100","12","154","142","1103","2","1","35","415","336","18","14","39","7","12","14 (318m) | 0 | 2","14 (318m) | 0 | 2","14 (318m) | 0 | 2","14 (318m) | 0 | 2","133 | 6 | 94 | 33","133 | 6 | 94 | 33","133 | 6 | 94 | 33","133 | 6 | 94 | 33","50% | 158 | 25 | 86%","50% | 158 | 25 | 86%","50% | 158 | 25 | 86%","50% | 158 | 25 | 86%"
"2","2015-08-27","7:45PM","25","1st_half","South Sydney","6","1","1","1","1","0","0","0","0","","","1","4","17","14","88","742","38","337","18","87","4","30","9","61","8","69","9","139","77","584","1","1","20","227","160","9","5","16","3","4","10 (219m) | 0 | 1","10 (219m) | 0 | 1","10 (219m) | 0 | 1","10 (219m) | 0 | 1","76 | 2 | 49 | 25","76 | 2 | 49 | 25","76 | 2 | 49 | 25","76 | 2 | 49 | 25","55% | 92 | 5 | 95%","55% | 92 | 5 | 95%","55% | 92 | 5 | 95%","55% | 92 | 5 | 95%"
"3","2015-08-27","7:45PM","25","2nd_half","South Sydney","6","1","0","1","1","0","0","0","0","","","5","5","17","9","70","565","36","309","14","84","4","36","7","59","4","31","3","15","65","519","1","0","15","188","176","9","9","23","4","8","4 (99m) | 0 | 1","4 (99m) | 0 | 1","4 (99m) | 0 | 1","4 (99m) | 0 | 1","57 | 4 | 45 | 8","57 | 4 | 45 | 8","57 | 4 | 45 | 8","57 | 4 | 45 | 8","44% | 66 | 20 | 77%","44% | 66 | 20 | 77%","44% | 66 | 20 | 77%","44% | 66 | 20 | 77%"
"4","2015-08-27","7:45PM","25","match","Brisbane","47","8","6","7","8","0","0","1","1","","","4","2","38","29","157","1697","69","547","28","374","15","223","8","76","18","133","6","176","138","1353","9","4","39","392","328","15","12","35","9","10","18 (499m) | 0 | 2","18 (499m) | 0 | 2","18 (499m) | 0 | 2","18 (499m) | 0 | 2","135 | 28 | 95 | 12","135 | 28 | 95 | 12","135 | 28 | 95 | 12","135 | 28 | 95 | 12","50% | 160 | 30 | 84%","50% | 160 | 30 | 84%","50% | 160 | 30 | 84%","50% | 160 | 30 | 84%"
"5","2015-08-27","7:45PM","25","1st_half","Brisbane","22","4","3","3","4","0","0","0","0","","","1","2","18","15","73","865","28","212","15","180","8","126","2","13","9","71","4","161","62","602","4","3","16","179","173","10","5","20","3","5","10 (389m) | 0 | 1","10 (389m) | 0 | 1","10 (389m) | 0 | 1","10 (389m) | 0 | 1","63 | 5 | 52 | 6","63 | 5 | 52 | 6","63 | 5 | 52 | 6","63 | 5 | 52 | 6","45% | 77 | 15 | 84%","45% | 77 | 15 | 84%","45% | 77 | 15 | 84%","45% | 77 | 15 | 84%"
"6","2015-08-27","7:45PM","25","2nd_half","Brisbane","25","4","3","4","4","0","0","1","1","","","3","2","20","14","84","832","41","335","13","194","7","97","6","63","9","62","2","15","76","751","5","1","23","213","155","5","7","15","6","5","8 (110m) | 0 | 1","8 (110m) | 0 | 1","8 (110m) | 0 | 1","8 (110m) | 0 | 1","72 | 23 | 43 | 6","72 | 23 | 43 | 6","72 | 23 | 43 | 6","72 | 23 | 43 | 6","56% | 83 | 15 | 85%","56% | 83 | 15 | 85%","56% | 83 | 15 | 85%","56% | 83 | 15 | 85%"
"7","2015-08-28","7:45PM","25","match","Manly","10","2","2","1","2","0","0","0","0","","","5","6","34","28","144","1119","72","550","40","325","8","58","9","61","1","13","8","49","130","1007","4","4","18","389","262","8","15","30","11","7","20 (404m) | 0 | 0","20 (404m) | 0 | 0","20 (404m) | 0 | 0","20 (404m) | 0 | 0","118 | 22 | 73 | 23","118 | 22 | 73 | 23","118 | 22 | 73 | 23","118 | 22 | 73 | 23","50% | 145 | 20 | 88%","50% | 145 | 20 | 88%","50% | 145 | 20 | 88%","50% | 145 | 20 | 88%"
"8","2015-08-28","7:45PM","25","1st_half","Manly","6","1","1","1","1","0","0","0","0","","","5","3","19","13","77","608","40","323","20","175","4","20","6","33","0","0","5","35","70","551","3","3","8","202","135","2","4","11","6","7","6 (86m) | 0 | 0","6 (86m) | 0 | 0","6 (86m) | 0 | 0","6 (86m) | 0 | 0","60 | 10 | 38 | 12","60 | 10 | 38 | 12","60 | 10 | 38 | 12","60 | 10 | 38 | 12","49% | 73 | 20 | 78%","49% | 73 | 20 | 78%","49% | 73 | 20 | 78%","49% | 73 | 20 | 78%"
"9","2015-08-28","7:45PM","25","2nd_half","Manly","4","1","1","0","1","0","0","0","0","","","0","3","15","15","67","511","32","227","20","150","4","38","3","28","1","13","3","14","60","456","1","1","10","187","127","6","11","19","5","0","14 (318m) | 0 | 0","14 (318m) | 0 | 0","14 (318m) | 0 | 0","14 (318m) | 0 | 0","58 | 12 | 35 | 11","58 | 12 | 35 | 11","58 | 12 | 35 | 11","58 | 12 | 35 | 11","51% | 72 | 0 | 100%","51% | 72 | 0 | 100%","51% | 72 | 0 | 100%","51% | 72 | 0 | 100%"
"10","2015-08-28","7:45PM","25","match","Sydney Roosters","46","8","7","7","8","0","0","0","0","","","7","2","35","31","142","1362","74","656","35","361","3","31","12","104","0","0","10","100","124","1152","6","5","30","342","279","16","21","18","8","9","21 (481m) | 0 | 3","21 (481m) | 0 | 3","21 (481m) | 0 | 3","21 (481m) | 0 | 3","119 | 34 | 61 | 24","119 | 34 | 61 | 24","119 | 34 | 61 | 24","119 | 34 | 61 | 24","50% | 149 | 15 | 91%","50% | 149 | 15 | 91%","50% | 149 | 15 | 91%","50% | 149 | 15 | 91%"
"11","2015-08-28","7:45PM","25","1st_half","Sydney Roosters","16","3","2","2","3","0","0","0","0","","","5","2","19","18","72","585","40","336","14","96","0","0","11","92","0","0","3","21","65","524","2","2","11","176","145","7","13","8","2","4","12 (334m) | 0 | 1","12 (334m) | 0 | 1","12 (334m) | 0 | 1","12 (334m) | 0 | 1","63 | 14 | 35 | 14","63 | 14 | 35 | 14","63 | 14 | 35 | 14","63 | 14 | 35 | 14","51% | 79 | 4 | 95%","51% | 79 | 4 | 95%","51% | 79 | 4 | 95%","51% | 79 | 4 | 95%"
"12","2015-08-28","7:45PM","25","2nd_half","Sydney Roosters","30","5","5","5","5","0","0","0","0","","","2","2","16","13","70","777","34","320","21","265","3","31","1","12","0","0","7","79","59","628","4","3","19","166","134","9","8","10","6","5","9 (147m) | 0 | 2","9 (147m) | 0 | 2","9 (147m) | 0 | 2","9 (147m) | 0 | 2","56 | 20 | 26 | 10","56 | 20 | 26 | 10","56 | 20 | 26 | 10","56 | 20 | 26 | 10","49% | 70 | 11 | 86%","49% | 70 | 11 | 86%","49% | 70 | 11 | 86%","49% | 70 | 11 | 86%"
"13","2015-08-29","3:00PM","25","match","Parramatta","28","5","3","4","5","0","0","0","0","","","4","3","33","26","143","1287","74","606","24","246","13","139","11","99","0","0","13","112","122","1090","4","1","32","355","324","15","12","25","6","7","18 (516m) | 0 | 2","18 (516m) | 0 | 2","18 (516m) | 0 | 2","18 (516m) | 0 | 2","121 | 16 | 73 | 32","121 | 16 | 73 | 32","121 | 16 | 73 | 32","121 | 16 | 73 | 32","48% | 149 | 18 | 89%","48% | 149 | 18 | 89%","48% | 149 | 18 | 89%","48% | 149 | 18 | 89%"
"14","2015-08-29","3:00PM","25","1st_half","Parramatta","10","2","2","1","2","0","0","0","0","","","3","2","18","15","71","595","42","342","3","28","6","67","9","74","0","0","8","53","60","511","0","0","7","173","157","4","10","14","3","3","11 (335m) | 0 | 0","11 (335m) | 0 | 0","11 (335m) | 0 | 0","11 (335m) | 0 | 0","64 | 5 | 41 | 18","64 | 5 | 41 | 18","64 | 5 | 41 | 18","64 | 5 | 41 | 18","50% | 81 | 2 | 98%","50% | 81 | 2 | 98%","50% | 81 | 2 | 98%","50% | 81 | 2 | 98%"
"15","2015-08-29","3:00PM","25","2nd_half","Parramatta","18","3","1","3","3","0","0","0","0","","","1","1","15","11","72","692","32","264","21","218","7","72","2","25","0","0","5","59","62","579","4","1","25","182","167","11","2","11","3","4","7 (181m) | 0 | 2","7 (181m) | 0 | 2","7 (181m) | 0 | 2","7 (181m) | 0 | 2","57 | 11 | 32 | 14","57 | 11 | 32 | 14","57 | 11 | 32 | 14","57 | 11 | 32 | 14","45% | 68 | 16 | 81%","45% | 68 | 16 | 81%","45% | 68 | 16 | 81%","45% | 68 | 16 | 81%"
"16","2015-08-29","3:00PM","25","match","Cronulla","35","6","5","4","6","1","1","1","1","","","6","1","35","29","155","1466","79","653","31","337","4","38","15","152","5","40","10","124","134","1220","7","5","25","388","290","13","11","32","8","8","16 (543m) | 0 | 1","16 (543m) | 0 | 1","16 (543m) | 0 | 1","16 (543m) | 0 | 1","132 | 36 | 72 | 24","132 | 36 | 72 | 24","132 | 36 | 72 | 24","132 | 36 | 72 | 24","52% | 156 | 17 | 90%","52% | 156 | 17 | 90%","52% | 156 | 17 | 90%","52% | 156 | 17 | 90%"
"17","2015-08-29","3:00PM","25","1st_half","Cronulla","20","4","4","2","4","0","0","0","0","","","4","1","19","16","80","759","31","271","18","191","1","7","14","141","5","40","7","71","69","650","4","4","14","204","159","2","5","7","6","5","8 (301m) | 0 | 0","8 (301m) | 0 | 0","8 (301m) | 0 | 0","8 (301m) | 0 | 0","63 | 15 | 40 | 8","63 | 15 | 40 | 8","63 | 15 | 40 | 8","63 | 15 | 40 | 8","50% | 78 | 12 | 87%","50% | 78 | 12 | 87%","50% | 78 | 12 | 87%","50% | 78 | 12 | 87%"
"18","2015-08-29","3:00PM","25","2nd_half","Cronulla","15","2","1","2","2","1","1","1","1","","","2","1","16","13","75","707","48","382","13","146","3","31","1","11","0","0","3","53","65","570","3","1","11","184","131","11","6","25","2","3","8 (242m) | 0 | 1","8 (242m) | 0 | 1","8 (242m) | 0 | 1","8 (242m) | 0 | 1","69 | 21 | 32 | 16","69 | 21 | 32 | 16","69 | 21 | 32 | 16","69 | 21 | 32 | 16","55% | 78 | 5 | 94%","55% | 78 | 5 | 94%","55% | 78 | 5 | 94%","55% | 78 | 5 | 94%"
"19","2015-08-29","5:30PM","25","match","Newcastle","18","3","2","3","3","0","0","0","0","","","7","2","38","28","179","1575","91","761","36","289","12","149","17","139","2","23","15","140","158","1361","2","0","23","434","338","16","28","32","12","10","21 (525m) | 0 | 0","21 (525m) | 0 | 0","21 (525m) | 0 | 0","21 (525m) | 0 | 0","151 | 36 | 83 | 32","151 | 36 | 83 | 32","151 | 36 | 83 | 32","151 | 36 | 83 | 32","52% | 176 | 23 | 88%","52% | 176 | 23 | 88%","52% | 176 | 23 | 88%","52% | 176 | 23 | 88%"
"20","2015-08-29","5:30PM","25","1st_half","Newcastle","6","1","1","1","1","0","0","0","0","","","3","1","18","14","77","711","37","317","9","84","6","84","12","89","1","7","9","96","65","581","1","0","9","198","163","4","14","15","4","4","11 (271m) | 0 | 0","11 (271m) | 0 | 0","11 (271m) | 0 | 0","11 (271m) | 0 | 0","70 | 13 | 37 | 20","70 | 13 | 37 | 20","70 | 13 | 37 | 20","70 | 13 | 37 | 20","51% | 82 | 12 | 87%","51% | 82 | 12 | 87%","51% | 82 | 12 | 87%","51% | 82 | 12 | 87%"
"21","2015-08-29","5:30PM","25","2nd_half","Newcastle","12","2","1","2","2","0","0","0","0","","","4","1","20","14","102","864","54","444","27","205","6","65","5","50","1","16","6","44","93","780","1","0","14","236","175","12","14","17","8","6","10 (254m) | 0 | 0","10 (254m) | 0 | 0","10 (254m) | 0 | 0","10 (254m) | 0 | 0","81 | 23 | 46 | 12","81 | 23 | 46 | 12","81 | 23 | 46 | 12","81 | 23 | 46 | 12","53% | 94 | 11 | 90%","53% | 94 | 11 | 90%","53% | 94 | 11 | 90%","53% | 94 | 11 | 90%"
"22","2015-08-29","5:30PM","25","match","Canterbury-Bankstown","20","4","1","2","4","0","0","0","0","","","4","6","34","28","169","1570","83","744","42","449","19","207","7","57","1","8","12","56","152","1465","5","2","32","379","351","12","21","23","18","5","20 (620m) | 0 | 3","20 (620m) | 0 | 3","20 (620m) | 0 | 3","20 (620m) | 0 | 3","138 | 44 | 69 | 25","138 | 44 | 69 | 25","138 | 44 | 69 | 25","138 | 44 | 69 | 25","48% | 164 | 16 | 91%","48% | 164 | 16 | 91%","48% | 164 | 16 | 91%","48% | 164 | 16 | 91%"
"23","2015-08-29","5:30PM","25","1st_half","Canterbury-Bankstown","14","3","1","1","3","0","0","0","0","","","3","6","18","15","84","846","40","371","18","246","9","117","6","48","0","0","8","28","73","782","3","1","15","186","165","4","8","9","9","3","9 (304m) | 0 | 1","9 (304m) | 0 | 1","9 (304m) | 0 | 1","9 (304m) | 0 | 1","67 | 20 | 39 | 8","67 | 20 | 39 | 8","67 | 20 | 39 | 8","67 | 20 | 39 | 8","49% | 81 | 8 | 91%","49% | 81 | 8 | 91%","49% | 81 | 8 | 91%","49% | 81 | 8 | 91%"
"24","2015-08-29","5:30PM","25","2nd_half","Canterbury-Bankstown","6","1","0","1","1","0","0","0","0","","","1","6","16","13","85","724","43","373","24","203","10","90","1","9","1","8","4","28","79","683","2","1","17","193","186","8","13","14","9","2","11 (316m) | 0 | 2","11 (316m) | 0 | 2","11 (316m) | 0 | 2","11 (316m) | 0 | 2","71 | 24 | 30 | 17","71 | 24 | 30 | 17","71 | 24 | 30 | 17","71 | 24 | 30 | 17","47% | 83 | 8 | 91%","47% | 83 | 8 | 91%","47% | 83 | 8 | 91%","47% | 83 | 8 | 91%"
"25","2015-08-29","7:30PM","25","match","Melbourne","14","2","2","2","2","1","1","0","0","","","7","4","47","36","183","1670","78","683","22","190","20","224","27","235","15","142","15","135","162","1474","3","1","30","440","405","14","15","17","6","9","25 (876m) | 1 | 3","25 (876m) | 1 | 3","25 (876m) | 1 | 3","25 (876m) | 1 | 3","171 | 38 | 105 | 28","171 | 38 | 105 | 28","171 | 38 | 105 | 28","171 | 38 | 105 | 28","52% | 206 | 40 | 84%","52% | 206 | 40 | 84%","52% | 206 | 40 | 84%","52% | 206 | 40 | 84%"
"26","2015-08-29","7:30PM","25","1st_half","Melbourne","8","1","1","1","1","1","1","0","0","","","7","0","25","19","91","830","40","340","10","84","7","99","14","109","8","79","7","66","79","711","2","1","18","218","194","8","5","9","2","5","11 (378m) | 0 | 1","11 (378m) | 0 | 1","11 (378m) | 0 | 1","11 (378m) | 0 | 1","81 | 13 | 51 | 17","81 | 13 | 51 | 17","81 | 13 | 51 | 17","81 | 13 | 51 | 17","54% | 100 | 24 | 81%","54% | 100 | 24 | 81%","54% | 100 | 24 | 81%","54% | 100 | 24 | 81%"
"27","2015-08-29","7:30PM","25","2nd_half","Melbourne","6","1","1","1","1","0","0","0","0","","","0","4","22","17","92","840","38","343","12","106","13","125","13","126","7","63","8","69","83","763","1","0","12","222","211","6","10","8","4","4","14 (498m) | 1 | 2","14 (498m) | 1 | 2","14 (498m) | 1 | 2","14 (498m) | 1 | 2","90 | 25 | 54 | 11","90 | 25 | 54 | 11","90 | 25 | 54 | 11","90 | 25 | 54 | 11","51% | 106 | 16 | 87%","51% | 106 | 16 | 87%","51% | 106 | 16 | 87%","51% | 106 | 16 | 87%"
"28","2015-08-29","7:30PM","25","match","North Queensland","6","1","1","1","1","0","0","0","0","","","5","5","39","29","173","1523","72","652","35","266","3","34","26","230","16","143","16","138","152","1325","0","0","17","463","432","16","8","30","9","10","25 (653m) | 0 | 4","25 (653m) | 0 | 4","25 (653m) | 0 | 4","25 (653m) | 0 | 4","156 | 32 | 102 | 22","156 | 32 | 102 | 22","156 | 32 | 102 | 22","156 | 32 | 102 | 22","48% | 181 | 31 | 85%","48% | 181 | 31 | 85%","48% | 181 | 31 | 85%","48% | 181 | 31 | 85%"
"29","2015-08-29","7:30PM","25","1st_half","North Queensland","0","0","0","0","0","0","0","0","0","","","3","5","18","13","78","704","36","316","11","89","0","0","15","148","7","61","7","74","69","614","0","0","9","210","217","6","3","18","2","4","10 (270m) | 0 | 4","10 (270m) | 0 | 4","10 (270m) | 0 | 4","10 (270m) | 0 | 4","70 | 10 | 49 | 11","70 | 10 | 49 | 11","70 | 10 | 49 | 11","70 | 10 | 49 | 11","46% | 83 | 15 | 85%","46% | 83 | 15 | 85%","46% | 83 | 15 | 85%","46% | 83 | 15 | 85%"
"30","2015-08-29","7:30PM","25","2nd_half","North Queensland","6","1","1","1","1","0","0","0","0","","","2","5","21","16","95","819","36","336","24","177","3","34","11","82","9","82","9","64","83","711","0","0","8","253","215","10","5","12","7","6","15 (383m) | 0 | 0","15 (383m) | 0 | 0","15 (383m) | 0 | 0","15 (383m) | 0 | 0","86 | 22 | 53 | 11","86 | 22 | 53 | 11","86 | 22 | 53 | 11","86 | 22 | 53 | 11","49% | 98 | 16 | 86%","49% | 98 | 16 | 86%","49% | 98 | 16 | 86%","49% | 98 | 16 | 86%"
"31","2015-08-30","2:00PM","25","match","Wests Tigers","50","9","8","7","9","0","0","0","0","","","8","6","36","31","158","1653","79","729","45","596","14","150","6","40","0","0","5","41","144","1515","8","5","43","373","267","11","32","20","16","7","14 (287m) | 0 | 2","14 (287m) | 0 | 2","14 (287m) | 0 | 2","14 (287m) | 0 | 2","122 | 46 | 43 | 33","122 | 46 | 43 | 33","122 | 46 | 43 | 33","122 | 46 | 43 | 33","53% | 152 | 16 | 90%","53% | 152 | 16 | 90%","53% | 152 | 16 | 90%","53% | 152 | 16 | 90%"
"32","2015-08-30","2:00PM","25","1st_half","Wests Tigers","18","3","2","3","3","0","0","0","0","","","5","3","18","15","77","808","39","391","24","263","6","72","2","10","0","0","2","23","71","736","3","1","22","185","158","6","18","14","7","5","7 (166m) | 0 | 1","7 (166m) | 0 | 1","7 (166m) | 0 | 1","7 (166m) | 0 | 1","60 | 22 | 18 | 20","60 | 22 | 18 | 20","60 | 22 | 18 | 20","60 | 22 | 18 | 20","48% | 73 | 13 | 85%","48% | 73 | 13 | 85%","48% | 73 | 13 | 85%","48% | 73 | 13 | 85%"
"33","2015-08-30","2:00PM","25","2nd_half","Wests Tigers","32","6","6","4","6","0","0","0","0","","","3","3","18","16","81","845","40","338","21","333","8","78","4","30","0","0","3","18","73","779","5","4","21","188","109","5","14","6","9","2","7 (121m) | 0 | 1","7 (121m) | 0 | 1","7 (121m) | 0 | 1","7 (121m) | 0 | 1","62 | 24 | 25 | 13","62 | 24 | 25 | 13","62 | 24 | 25 | 13","62 | 24 | 25 | 13","57% | 79 | 3 | 96%","57% | 79 | 3 | 96%","57% | 79 | 3 | 96%","57% | 79 | 3 | 96%"
"34","2015-08-30","2:00PM","25","match","Warriors","16","3","2","2","3","0","0","0","0","","","6","4","31","27","140","1180","73","629","40","304","7","64","4","20","3","27","7","52","127","1044","4","3","20","343","313","15","25","43","17","6","15 (393m) | 0 | 0","15 (393m) | 0 | 0","15 (393m) | 0 | 0","15 (393m) | 0 | 0","110 | 34 | 57 | 19","110 | 34 | 57 | 19","110 | 34 | 57 | 19","110 | 34 | 57 | 19","47% | 136 | 15 | 90%","47% | 136 | 15 | 90%","47% | 136 | 15 | 90%","47% | 136 | 15 | 90%"
"35","2015-08-30","2:00PM","25","1st_half","Warriors","6","1","0","1","1","0","0","0","0","","","4","4","18","15","79","596","44","337","18","113","4","33","4","20","2","21","5","36","72","524","1","0","14","199","159","7","12","22","9","3","8 (226m) | 0 | 0","8 (226m) | 0 | 0","8 (226m) | 0 | 0","8 (226m) | 0 | 0","64 | 20 | 35 | 9","64 | 20 | 35 | 9","64 | 20 | 35 | 9","64 | 20 | 35 | 9","52% | 80 | 10 | 89%","52% | 80 | 10 | 89%","52% | 80 | 10 | 89%","52% | 80 | 10 | 89%"
"36","2015-08-30","2:00PM","25","2nd_half","Warriors","10","2","2","1","2","0","0","0","0","","","2","4","13","12","61","584","29","292","22","191","3","31","0","0","1","6","2","16","55","520","3","3","6","144","154","8","13","21","8","3","7 (167m) | 0 | 0","7 (167m) | 0 | 0","7 (167m) | 0 | 0","7 (167m) | 0 | 0","46 | 14 | 22 | 10","46 | 14 | 22 | 10","46 | 14 | 22 | 10","46 | 14 | 22 | 10","43% | 56 | 5 | 92%","43% | 56 | 5 | 92%","43% | 56 | 5 | 92%","43% | 56 | 5 | 92%"
"37","2015-08-30","4:00PM","25","match","Gold Coast","28","5","2","4","5","0","0","0","0","","","5","6","35","26","162","1502","62","546","43","438","27","214","7","62","2","11","11","68","141","1271","7","2","37","380","280","13","23","31","16","11","15 (431m) | 0 | 2","15 (431m) | 0 | 2","15 (431m) | 0 | 2","15 (431m) | 0 | 2","123 | 35 | 64 | 24","123 | 35 | 64 | 24","123 | 35 | 64 | 24","123 | 35 | 64 | 24","50% | 150 | 30 | 83%","50% | 150 | 30 | 83%","50% | 150 | 30 | 83%","50% | 150 | 30 | 83%"
"38","2015-08-30","4:00PM","25","1st_half","Gold Coast","12","2","0","2","2","0","0","0","0","","","3","3","16","12","75","671","33","272","14","138","14","119","4","32","2","11","3","0","67","572","2","0","14","186","127","3","13","20","5","5","6 (166m) | 0 | 1","6 (166m) | 0 | 1","6 (166m) | 0 | 1","6 (166m) | 0 | 1","60 | 14 | 30 | 16","60 | 14 | 30 | 16","60 | 14 | 30 | 16","60 | 14 | 30 | 16","52% | 72 | 10 | 88%","52% | 72 | 10 | 88%","52% | 72 | 10 | 88%","52% | 72 | 10 | 88%"
"39","2015-08-30","4:00PM","25","2nd_half","Gold Coast","16","3","2","2","3","0","0","0","0","","","2","3","19","14","87","831","29","274","29","300","13","95","3","30","0","0","8","68","74","699","5","2","23","194","153","10","10","11","11","6","9 (265m) | 0 | 1","9 (265m) | 0 | 1","9 (265m) | 0 | 1","9 (265m) | 0 | 1","63 | 21 | 34 | 8","63 | 21 | 34 | 8","63 | 21 | 34 | 8","63 | 21 | 34 | 8","48% | 78 | 20 | 80%","48% | 78 | 20 | 80%","48% | 78 | 20 | 80%","48% | 78 | 20 | 80%"
"40","2015-08-30","4:00PM","25","match","St George Illawarra","26","4","0","4","4","1","2","0","0","","","8","5","37","27","145","1399","79","727","31","322","12","111","9","93","0","0","8","62","131","1253","4","1","31","363","330","15","30","37","14","9","17 (335m) | 0 | 4","17 (335m) | 0 | 4","17 (335m) | 0 | 4","17 (335m) | 0 | 4","122 | 28 | 69 | 25","122 | 28 | 69 | 25","122 | 28 | 69 | 25","122 | 28 | 69 | 25","50% | 148 | 35 | 81%","50% | 148 | 35 | 81%","50% | 148 | 35 | 81%","50% | 148 | 35 | 81%"
"41","2015-08-30","4:00PM","25","1st_half","St George Illawarra","20","3","0","3","3","1","2","0","0","","","6","5","17","13","69","667","34","308","14","134","4","43","8","83","0","0","4","34","60","568","3","0","20","176","161","4","8","14","8","4","6 (136m) | 0 | 2","6 (136m) | 0 | 2","6 (136m) | 0 | 2","6 (136m) | 0 | 2","55 | 12 | 30 | 13","55 | 12 | 30 | 13","55 | 12 | 30 | 13","55 | 12 | 30 | 13","48% | 69 | 7 | 91%","48% | 69 | 7 | 91%","48% | 69 | 7 | 91%","48% | 69 | 7 | 91%"
"42","2015-08-30","4:00PM","25","2nd_half","St George Illawarra","6","1","0","1","1","0","0","0","0","","","2","5","20","14","76","732","45","419","17","188","8","68","1","10","0","0","4","28","71","685","1","1","11","187","169","11","22","23","6","5","11 (199m) | 0 | 2","11 (199m) | 0 | 2","11 (199m) | 0 | 2","11 (199m) | 0 | 2","67 | 16 | 39 | 12","67 | 16 | 39 | 12","67 | 16 | 39 | 12","67 | 16 | 39 | 12","52% | 79 | 28 | 74%","52% | 79 | 28 | 74%","52% | 79 | 28 | 74%","52% | 79 | 28 | 74%"
"43","2015-08-31","7:00PM","25","match","Canberra","34","6","4","5","6","0","0","0","0","","","5","6","37","30","165","1630","77","671","34","420","12","106","22","192","2","16","9","114","147","1405","9","4","39","349","348","10","32","41","12","9","18 (646m) | 0 | 3","18 (646m) | 0 | 3","18 (646m) | 0 | 3","18 (646m) | 0 | 3","134 | 32 | 64 | 38","134 | 32 | 64 | 38","134 | 32 | 64 | 38","134 | 32 | 64 | 38","50% | 164 | 18 | 90%","50% | 164 | 18 | 90%","50% | 164 | 18 | 90%","50% | 164 | 18 | 90%"
"44","2015-08-31","7:00PM","25","1st_half","Canberra","22","4","3","3","4","0","0","0","0","","","3","1","19","16","85","883","36","328","15","198","4","66","17","160","2","16","4","27","74","768","5","2","19","180","171","6","9","15","4","4","9 (287m) | 0 | 3","9 (287m) | 0 | 3","9 (287m) | 0 | 3","9 (287m) | 0 | 3","69 | 9 | 35 | 25","69 | 9 | 35 | 25","69 | 9 | 35 | 25","69 | 9 | 35 | 25","51% | 86 | 6 | 93%","51% | 86 | 6 | 93%","51% | 86 | 6 | 93%","51% | 86 | 6 | 93%"
"45","2015-08-31","7:00PM","25","2nd_half","Canberra","12","2","1","2","2","0","0","0","0","","","2","5","18","14","80","747","41","343","19","222","8","40","5","32","0","0","5","87","73","637","4","2","20","169","177","4","23","26","8","5","9 (359m) | 0 | 0","9 (359m) | 0 | 0","9 (359m) | 0 | 0","9 (359m) | 0 | 0","65 | 23 | 29 | 13","65 | 23 | 29 | 13","65 | 23 | 29 | 13","65 | 23 | 29 | 13","49% | 78 | 12 | 87%","49% | 78 | 12 | 87%","49% | 78 | 12 | 87%","49% | 78 | 12 | 87%"
"46","2015-08-31","7:00PM","25","match","Penrith","18","3","1","3","3","0","0","0","0","","","5","4","38","29","173","1718","75","690","49","536","20","188","10","100","1","1","11","96","155","1515","6","2","41","397","349","11","21","39","18","9","20 (432m) | 0 | 2","20 (432m) | 0 | 2","20 (432m) | 0 | 2","20 (432m) | 0 | 2","134 | 31 | 64 | 39","134 | 31 | 64 | 39","134 | 31 | 64 | 39","134 | 31 | 64 | 39","50% | 156 | 33 | 83%","50% | 156 | 33 | 83%","50% | 156 | 33 | 83%","50% | 156 | 33 | 83%"
"47","2015-08-31","7:00PM","25","1st_half","Penrith","6","1","0","1","1","0","0","0","0","","","2","4","16","14","72","749","29","286","18","204","9","77","6","54","0","0","6","59","62","621","3","1","15","187","185","3","6","19","6","2","11 (209m) | 0 | 2","11 (209m) | 0 | 2","11 (209m) | 0 | 2","11 (209m) | 0 | 2","65 | 13 | 35 | 17","65 | 13 | 35 | 17","65 | 13 | 35 | 17","65 | 13 | 35 | 17","49% | 74 | 8 | 90%","49% | 74 | 8 | 90%","49% | 74 | 8 | 90%","49% | 74 | 8 | 90%"
"48","2015-08-31","7:00PM","25","2nd_half","Penrith","12","2","1","2","2","0","0","0","0","","","3","4","22","15","101","969","46","404","31","332","11","111","4","46","1","1","5","37","93","894","3","1","26","210","164","8","15","20","12","7","9 (223m) | 0 | 0","9 (223m) | 0 | 0","9 (223m) | 0 | 0","9 (223m) | 0 | 0","69 | 18 | 29 | 22","69 | 18 | 29 | 22","69 | 18 | 29 | 22","69 | 18 | 29 | 22","51% | 82 | 25 | 77%","51% | 82 | 25 | 77%","51% | 82 | 25 | 77%","51% | 82 | 25 | 77%"
