"","date","time","round","period","team","score","tries","try_assists","conversions","conversion_attempts","penalty_goals","penalty_goal_attempts","field_goals","field_goal_attempts","sin_bins","send_offs","penalties","scrums","sets","completions","total_runs","total_runs_metres","hitups","hitups_metres","runs","runs_metres","dummy_half_runs","dummy_half_runs_metres","first_receiver_runs","first_receiver_runs_metres","ruck_runs","ruck_runs_metres","kick_return_runs","kick_return_runs_metres","total_runs_in_general_play","total_runs_in_general_play_metres","line_breaks","line_break_assists","tackle_breaks","receives","tackles","one_on_one_tackles","ineffective_tackles","missed_tackles","offloads","errors","kicks","kicks_metres","forty_twenty_kicks","line_dropouts","play_the_balls_total","play_the_balls_slow","play_the_balls_neutral","play_the_balls_fast","possession_percent","used_plays","unused_plays","possession_efficiency_percent"
"896","2015-04-06","3:00PM","5","match","Wests Tigers","22","4","3","2","4","1","1","0","0","","","5","7","42","34","187","1624","82","630","38","287","17","190","15","149","16","134","13","158","168","1390","4","1","43","424","355","9","10","16","13","6","29 (825m) | 0 | 2","29 (825m) | 0 | 2","29 (825m) | 0 | 2","29 (825m) | 0 | 2","165 | 40 | 109 | 16","165 | 40 | 109 | 16","165 | 40 | 109 | 16","165 | 40 | 109 | 16","52% | 192 | 21 | 90%","52% | 192 | 21 | 90%","52% | 192 | 21 | 90%","52% | 192 | 21 | 90%"
"897","2015-04-06","3:00PM","5","1st_half","Wests Tigers","4","1","0","0","1","0","0","0","0","","","3","7","18","14","84","707","42","318","24","181","6","67","2","22","2","10","7","96","76","598","1","0","13","193","177","6","5","9","6","3","11 (274m) | 0 | 2","11 (274m) | 0 | 2","11 (274m) | 0 | 2","11 (274m) | 0 | 2","72 | 13 | 52 | 7","72 | 13 | 52 | 7","72 | 13 | 52 | 7","72 | 13 | 52 | 7","50% | 83 | 11 | 88%","50% | 83 | 11 | 88%","50% | 83 | 11 | 88%","50% | 83 | 11 | 88%"
"898","2015-04-06","3:00PM","5","2nd_half","Wests Tigers","18","3","3","2","3","1","1","0","0","","","2","7","24","20","103","917","40","312","14","106","11","123","13","127","14","124","6","62","92","792","3","1","30","231","178","3","5","7","7","3","18 (551m) | 0 | 0","18 (551m) | 0 | 0","18 (551m) | 0 | 0","18 (551m) | 0 | 0","93 | 27 | 57 | 9","93 | 27 | 57 | 9","93 | 27 | 57 | 9","93 | 27 | 57 | 9","54% | 109 | 10 | 92%","54% | 109 | 10 | 92%","54% | 109 | 10 | 92%","54% | 109 | 10 | 92%"
"899","2015-04-06","5:00PM","5","match","Melbourne","30","5","2","5","5","0","0","0","0","","","3","12","33","24","144","1281","62","514","36","309","13","121","18","198","6","56","2","6","135","1198","6","2","26","380","313","12","9","34","11","12","17 (427m) | 0 | 1","17 (427m) | 0 | 1","17 (427m) | 0 | 1","17 (427m) | 0 | 1","127 | 6 | 90 | 31","127 | 6 | 90 | 31","127 | 6 | 90 | 31","127 | 6 | 90 | 31","52% | 152 | 27 | 85%","52% | 152 | 27 | 85%","52% | 152 | 27 | 85%","52% | 152 | 27 | 85%"
"900","2015-04-06","5:00PM","5","1st_half","Melbourne","12","2","0","2","2","0","0","0","0","","","2","7","17","14","75","588","32","249","20","172","6","45","11","72","2","19","1","6","71","557","3","1","12","191","179","9","4","19","7","6","9 (252m) | 0 | 0","9 (252m) | 0 | 0","9 (252m) | 0 | 0","9 (252m) | 0 | 0","64 | 2 | 50 | 12","64 | 2 | 50 | 12","64 | 2 | 50 | 12","64 | 2 | 50 | 12","49% | 79 | 12 | 87%","49% | 79 | 12 | 87%","49% | 79 | 12 | 87%","49% | 79 | 12 | 87%"
"901","2015-04-06","5:00PM","5","2nd_half","Melbourne","18","3","2","3","3","0","0","0","0","","","1","5","16","10","69","693","30","265","16","137","7","76","7","126","4","37","1","0","64","641","3","1","14","189","134","3","5","15","4","6","8 (175m) | 0 | 1","8 (175m) | 0 | 1","8 (175m) | 0 | 1","8 (175m) | 0 | 1","63 | 4 | 40 | 19","63 | 4 | 40 | 19","63 | 4 | 40 | 19","63 | 4 | 40 | 19","56% | 73 | 15 | 83%","56% | 73 | 15 | 83%","56% | 73 | 15 | 83%","56% | 73 | 15 | 83%"
"902","2015-04-06","5:00PM","5","match","Warriors","14","3","2","1","3","0","0","0","0","","","7","4","38","24","136","1225","66","562","20","215","6","47","13","145","16","117","10","75","121","1086","4","1","34","345","304","21","18","26","6","14","14 (342m) | 0 | 2","14 (342m) | 0 | 2","14 (342m) | 0 | 2","14 (342m) | 0 | 2","116 | 25 | 72 | 19","116 | 25 | 72 | 19","116 | 25 | 72 | 19","116 | 25 | 72 | 19","48% | 143 | 46 | 76%","48% | 143 | 46 | 76%","48% | 143 | 46 | 76%","48% | 143 | 46 | 76%"
"903","2015-04-06","5:00PM","5","1st_half","Warriors","4","1","1","0","1","0","0","0","0","","","3","4","19","11","76","650","42","355","12","95","5","40","5","67","3","13","7","51","67","570","2","1","19","192","148","13","13","12","3","8","8 (193m) | 0 | 1","8 (193m) | 0 | 1","8 (193m) | 0 | 1","8 (193m) | 0 | 1","66 | 10 | 40 | 16","66 | 10 | 40 | 16","66 | 10 | 40 | 16","66 | 10 | 40 | 16","51% | 80 | 24 | 77%","51% | 80 | 24 | 77%","51% | 80 | 24 | 77%","51% | 80 | 24 | 77%"
"904","2015-04-06","5:00PM","5","2nd_half","Warriors","10","2","1","1","2","0","0","0","0","","","4","4","19","13","60","575","24","207","8","120","1","7","8","78","13","104","3","24","54","516","2","0","15","153","156","8","5","14","3","6","6 (149m) | 0 | 1","6 (149m) | 0 | 1","6 (149m) | 0 | 1","6 (149m) | 0 | 1","50 | 15 | 32 | 3","50 | 15 | 32 | 3","50 | 15 | 32 | 3","50 | 15 | 32 | 3","44% | 63 | 22 | 74%","44% | 63 | 22 | 74%","44% | 63 | 22 | 74%","44% | 63 | 22 | 74%"
"905","2015-04-06","7:00PM","5","match","Penrith","10","2","1","1","2","0","0","0","0","","","9","4","40","31","140","1088","70","545","32","252","9","52","13","92","4","28","8","64","128","969","3","2","17","360","417","15","13","32","11","10","20 (548m) | 0 | 2","20 (548m) | 0 | 2","20 (548m) | 0 | 2","20 (548m) | 0 | 2","125 | 44 | 64 | 17","125 | 44 | 64 | 17","125 | 44 | 64 | 17","125 | 44 | 64 | 17","45% | 152 | 33 | 82%","45% | 152 | 33 | 82%","45% | 152 | 33 | 82%","45% | 152 | 33 | 82%"
